count,gazeX,gazeY,pitch,roll,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,eulerX,eulerY,eulerZ,faceX,faceY,leftEyeleft,leftEyetop,leftEyeright,leftEyebottom,rightEyeleft,rightEyetop,rightEyeright,rightEyebottom
0,53,114,-15.954175,-2.9906647,-8.112290524877608E-4,-0.11146519333124161,-0.039730675518512726,-0.6009629964828491,9.364008903503418,2.262589693069458,-1.4461051,9.140676,0.20078187,455.625,851.25,633.0,226.3,480.75,696.375,386.25,226.0,255.0,716.25
1,53,114,-16.234306,-2.894922,-0.023413242772221565,0.009486125782132149,0.04273613542318344,-0.33280420303344727,9.313729286193848,2.8324270248413086,-1.6434597,8.627176,0.19140978,453.75,851.25,628.5,223.1,481.5,689.625,393.75,224.0,262.5,708.75
2,53,114,-16.379976,-2.7268205,0.03584068641066551,-0.01433761790394783,-0.031789425760507584,-0.4597007632255554,9.404711723327637,2.7701759338378906,-3.327828,7.9770885,-0.2921868,463.125,843.75,643.5,226.6,496.5,702.75,405.75,227.2,269.25,715.5
3,917,1644,-14.81182,-1.2010468,0.012627806514501572,-0.03205271065235138,0.04273613542318344,0.04549122229218483,9.249083518981934,2.6504621505737305,-1.2783815,4.1605554,1.12664,528.75,796.875,689.25,212.8,563.25,672.0,488.25,212.2,378.0,685.5
4,917,1644,-14.704362,-1.2532599,0.013849536888301373,0.006431800313293934,0.0030298917554318905,-0.241821750998497,9.452596664428711,2.3368122577667236,-1.5575637,4.403851,0.6905293,545.625,796.875,696.0,212.1,575.25,674.625,499.5,211.7,389.25,683.625
5,917,1644,-14.655826,-1.2549894,0.0010213666828349233,-0.030830981209874153,-0.0012461651349440217,-0.1412622183561325,9.502876281738281,2.42061185836792,-1.4602317,4.862419,0.9027796,545.625,796.875,699.75,212.1,579.0,674.625,499.5,211.7,389.25,683.625
6,377,1559,-14.525342,-1.5790018,-0.03868487477302551,0.008875261060893536,0.014025465585291386,-0.29928433895111084,9.464568138122559,2.6767992973327637,-0.58586746,6.090521,0.25717404,540.0,791.25,692.25,211.6,571.5,672.75,495.75,211.2,385.5,681.75
7,377,1559,-14.493734,-1.5339371,-0.10954524576663971,0.027201218530535698,-0.0036896259989589453,-0.07182824611663818,9.234718322753906,2.9856607913970947,-1.2824631,5.5030956,0.3850917,540.0,796.875,692.25,211.6,571.5,672.75,495.75,211.2,385.5,681.75
8,377,1559,-14.60618,-1.5319887,-0.00447642058134079,-0.005785504821687937,-0.00918741337954998,-0.29928433895111084,9.447808265686035,2.5211713314056396,-1.7517179,5.4002237,0.59079766,540.0,796.875,692.25,211.6,571.5,672.75,496.5,211.9,381.0,679.125
9,377,1559,-14.601354,-1.5476553,0.010184344835579395,-0.0015094480477273464,0.0030298917554318905,-0.3615354895591736,9.416683197021484,2.2530126571655273,-0.8566591,5.6414905,0.39743593,540.0,796.875,696.0,212.1,575.25,674.625,500.25,212.9,384.75,682.875
